concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";17993,00;2,00;35986,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";46184,00;3,00;138552,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";12444,00;4,00;49776,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";28241,00;5,00;141205,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";32414,00;6,00;194484,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";10876,00;6,00;65256,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";1963,00;0,50;981,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";138001,00;1,00;138001,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";992,00;1,50;1488,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";99,00;2,00;198,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 2";"Comercial";15340,00;2,00;30680,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 4";"Comercial";38668,00;3,00;116004,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 6";"Comercial";11060,00;4,00;44240,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 7";"Comercial";25035,00;5,00;125175,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 8";"Comercial";24033,00;6,00;144198,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Outros";"Comercial";6897,00;6,00;41382,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 9";"Moto";2181,00;0,50;1090,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";152798,00;1,00;152798,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 3";"Passeio";978,00;1,50;1467,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 5";"Passeio";107,00;2,00;214,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 2";"Comercial";15964,00;2,00;31928,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 4";"Comercial";40670,00;3,00;122010,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 6";"Comercial";11283,00;4,00;45132,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 7";"Comercial";25873,00;5,00;129365,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 8";"Comercial";25329,00;6,00;151974,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"6 (Santo Antônio do Amparo)";"N/I";"Outros";"Comercial";6937,00;6,00;41622,00
